,2000  1  1   1 19 28.30  41.950N   20.630E   5.0 4.8
0,2000  1  1   4  2 28.40  35.540N   22.760E  22.0 3.7
1,2000  1  2  10 44 10.90  35.850N   27.610E   3.0 3.7
2,2000  1  2  18 48 55.60  35.480N   22.510E  32.0 4.0
3,2000  1  6  15 51 12.40  37.940N   26.100E   5.0 4.0
4,2000  1  7   4  9 40.50  39.220N   28.120E   6.0 3.9
5,2000  1  7   9 36 36.50  40.370N   25.340E  10.0 3.7
6,2000  1 10   2 48 15.60  40.310N   28.010E   5.0 3.7
7,2000  1 11   7 44 58.40  38.980N   23.470E  29.0 4.1
8,2000  1 12   2 14  2.80  36.270N   26.980E  36.0 3.7
9,2000  1 12  21 54  6.30  39.330N   27.250E   5.0 3.7
10,2000  1 14   1 16 42.20  35.060N   26.200E  81.0 4.1
11,2000  1 14   6 25 29.60  35.050N   24.050E   5.0 3.8
12,2000  1 14   9  8 24.70  40.150N   21.900E   5.0 3.7
13,2000  1 17   7 32 51.20  39.130N   25.820E  54.0 3.7
14,2000  1 19   0  1 56.60  34.830N   25.430E  34.0 4.0
15,2000  1 19  10 40 47.60  38.370N   25.830E  10.0 3.7
16,2000  1 19  19 43  1.50  39.400N   27.830E  23.0 3.7
17,2000  1 20   9 32 37.80  38.430N   25.990E  40.0 3.7
18,2000  1 22  12 18 10.70  38.410N   25.890E  18.0 3.7
19,2000  1 26   2 24 40.50  36.640N   27.880E   5.0 3.9
20,2000  1 27   0  3 22.40  40.690N   25.640E   5.0 3.9
21,2000  1 27   6 51 18.90  35.620N   23.630E   5.0 4.2
22,2000  1 29  17 24  3.20  34.940N   25.370E  35.0 3.7
23,2000  1 31   7 34  6.80  35.440N   27.210E  27.0 4.7
24,2000  2  2  21 21 29.60  37.970N   27.780E   5.0 3.8
25,2000  2  4  14 44 16.00  38.720N   23.690E   5.0 3.7
26,2000  2  5  14  8 25.80  38.710N   23.660E   4.0 3.7
27,2000  2  6  18 59 19.50  35.580N   27.550E   4.0 3.7
28,2000  2  7   1 30 34.60  38.110N   21.420E   5.0 3.8
29,2000  2 10   1 47 42.10  38.250N   27.500E   2.0 3.7
30,2000  2 10  21  9  2.30  36.070N   26.900E  31.0 3.7
31,2000  2 10  22 42 57.00  34.780N   19.240E  37.0 4.0
32,2000  2 13   8 37 15.40  38.420N   26.670E  15.0 3.7
33,2000  2 13   9 39 26.40  38.510N   27.160E  24.0 3.7
34,2000  2 13   9 50 49.80  38.620N   27.330E  17.0 3.8
35,2000  2 14  11 40 53.20  38.290N   20.450E   5.0 3.7
36,2000  2 15  13 44 39.70  39.020N   20.490E   5.0 3.7
